G,D,GP,gradient_norm,L1
0.15766888856887817,7.164427757263184,7.1527838706970215,0.16252204775810242,0.3011128902435303
0.09577122330665588,5.652976036071777,5.643110752105713,0.3029012680053711,0.21516954898834229
0.08560915291309357,5.961206436157227,5.953530788421631,0.2425534427165985,0.19970959424972534
0.07515797019004822,4.6983113288879395,4.697632312774658,0.3531867265701294,0.18528136610984802
0.045498598366975784,4.359560012817383,4.348917484283447,0.35657042264938354,0.14453274011611938
0.06541872024536133,3.9297714233398438,3.915126085281372,0.5572477579116821,0.17023789882659912
0.05316564068198204,4.42963981628418,4.419656276702881,0.38830500841140747,0.15306119620800018
0.052924659103155136,4.887765407562256,4.88358211517334,0.31329745054244995,0.15508365631103516
0.04509231820702553,4.761788368225098,4.755705833435059,0.35670122504234314,0.14498040080070496
0.04649646580219269,4.082249641418457,4.073925495147705,0.7053724527359009,0.14712882041931152
